p,qaoa_energy,beta01,gamma01,u01,v01,num_qubits,min_energy,opt_var_assignment,beta02,gamma02,u02,v02,beta03,gamma03,u03,v03,beta04,gamma04,u04,v04,beta05,gamma05,u05,v05,beta06,gamma06,u06,v06,beta07,gamma07,u07,v07,beta08,gamma08,u08,v08,beta09,gamma09,u09,v09,beta10,gamma10,u10,v10,beta11,gamma11,beta12,gamma12,beta13,gamma13,beta14,gamma14,beta15,gamma15,beta16,gamma16,beta17,gamma17,beta18,gamma18,beta19,gamma19,beta20,gamma20,beta21,gamma21,beta22,gamma22,beta23,gamma23,beta24,gamma24,beta25,gamma25,beta26,gamma26,beta27,gamma27,beta28,gamma28,beta29,gamma29,beta30,gamma30,beta31,gamma31,beta32,gamma32,beta33,gamma33,beta34,gamma34,beta35,gamma35,beta36,gamma36,beta37,gamma37,beta38,gamma38,beta39,gamma39,beta40,gamma40,beta41,gamma41,beta42,gamma42,beta43,gamma43,beta44,gamma44,beta45,gamma45,beta46,gamma46,beta47,gamma47,beta48,gamma48,beta49,gamma49,beta50,gamma50
1,0.6557203025432825,0.5824782917578716,-0.3705690725744704,-0.5240638082308359,0.8237486999918946,11,-2.0088944195653555,01101101101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.08107791757529004,0.643609240054547,-0.2648684198901104,-0.7404733464967185,0.7162365705960755,11,-2.0088944195653555,01101101101,0.3178061982534645,-0.69177048300964,0.0200225909019066,-0.04731604878563901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-0.4407160564663313,0.6953586835233174,-0.2623962449315963,-1.1089501861913351,0.6735158836331182,11,-2.0088944195653555,01101101101,0.3953526528691219,-0.6087520558862862,0.15792521562803344,0.03386814410578722,0.22816084756397942,-1.2061582734906733,-0.09011955700641118,0.08053465591963646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-0.877759663652899,0.7191784929686833,-0.23565925397719215,-1.1376544068155328,0.6453229968134426,11,-2.0088944195653555,01101101101,0.444166547776813,-0.5442930399975341,0.03771685053216709,0.04335432202943239,0.316676626112012,-0.9926796691571538,0.023746660510992033,0.09817437665855566,0.20523426835419195,-1.1231387798933887,-0.055478886707585974,-0.02222235328251363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-1.2341881218372714,0.7204514897780973,-0.20773237901538955,-1.0056812002814883,0.6079063844821669,11,-2.0088944195653555,01101101101,0.4602744372566469,-0.4633480909520771,-0.0645147162735245,0.04185689540891831,0.3357968899664112,-0.813287957869228,0.02358881453103138,0.11518426025235917,0.28598665510640037,-0.8719803633280939,0.009519427650574858,-0.008304206735734575,0.19687103989055688,-0.930788797654635,-0.046858701396761654,0.03232749390804975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,-1.459755866588469,0.7264503556645652,-0.17164779366169275,-0.9441583638678857,0.5865466010776326,11,-2.0088944195653555,01101101101,0.48808378933554086,-0.3868204929039215,-0.07845205743723718,0.042566685314056656,0.347425554879991,-0.6751685719474118,0.008121241498282986,0.11757633774117499,0.30962320968375323,-0.8131726267131957,0.033204442123825006,0.006874249971820218,0.26940686450125145,-0.7815900406504421,-0.040829086438824005,0.025644184378099944,0.16286594995900305,-0.8914221592185636,-0.01205683924757489,-0.012891744181054791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,-1.5841461767922373,0.7714519416577804,-0.13741774532903053,-0.9266215284404589,0.5902205155141578,11,-2.0088944195653555,01101101101,0.5348213872944455,-0.320812551212004,-0.03575880780173828,0.05946761777686753,0.3715988510054521,-0.5544302044683244,-0.02601453796554186,0.11639416444886246,0.3311239816375049,-0.7004454665865976,0.042590453037844075,0.024007900955052546,0.2867009400935386,-0.7515765048748199,-0.027423061144631083,0.027852753740967937,0.23950777303121626,-0.7898905511657931,0.0004057410253097167,-0.005980496872346792,0.12451580508610154,-0.9556336686247927,-0.015394092884303847,0.003919859198056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,-1.6725289866427806,0.8286150472725127,-0.12601912209029653,-0.9288815869253291,0.5926182393751339,11,-2.0088944195653555,01101101101,0.5755899753115368,-0.2952846117132733,-0.01924856820366649,0.08433554861445025,0.3951236814430436,-0.4983665427065377,-0.05380989534164868,0.11409659422314992,0.34945449847323057,-0.6198317072248789,0.042945111859593266,0.04167528182662203,0.30456508187987813,-0.7005068403913558,-0.024458384922481986,0.037871727745548735,0.2487497764644884,-0.7449164546200957,0.011536322530689995,0.0004684549367496146,0.19362697906136214,-0.820153131357548,-0.014324141575317056,0.0052622636976399975,0.09959356429377114,-1.0108855869315492,-0.008866408572160374,-0.004767074694376557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,-1.732516098724468,0.8318172316718131,-0.12153387504025645,-0.9297508715746412,0.5775765520202643,11,-2.0088944195653555,01101101101,0.5993391851628361,-0.27256388932952036,-0.007099939515760892,0.09220043919338756,0.41118248827498954,-0.4525273760673605,-0.06474733479515385,0.10288857702653383,0.36551424386597436,-0.5573317329312784,0.031878660320692455,0.04842556002344743,0.32074859762713587,-0.6426260437979788,-0.02113787731128289,0.04293448943553438,0.2753214582105169,-0.707577614359001,0.012916802670265046,0.003092239120895198,0.20362124757443062,-0.7694778979494694,-0.011729034129847321,0.009836049601306648,0.15938428656477382,-0.8620823365481302,-0.003202655711182941,-0.0069284394266178355,0.08523343713291276,-1.0316385484497586,-0.01153894525734012,-0.0003838402340587525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,-1.7764805857765547,0.8113731384099998,-0.11252600279417035,-0.935674942867993,0.5534978495171251,11,-2.0088944195653555,01101101101,0.6120437957515433,-0.2592425620966556,0.003608945519024265,0.09388688314638102,0.4193542136155648,-0.4267445486380263,-0.078810349462425,0.09373453023792419,0.3630003883874171,-0.519915161251256,0.024723319941313757,0.05065259286973381,0.33242884030812975,-0.5853377895656727,-0.018689266631573248,0.04471569206655802,0.2925919393981792,-0.657305264503957,0.016526643593070083,0.0028060200649329217,0.23235688041027946,-0.7266828923506276,-0.009238306535738063,0.009896605669535532,0.16830664891240565,-0.7984665674176662,-0.0003079656281929652,-0.0056907690546937175,0.13785769608179765,-0.9035828838317997,-0.009040596980703251,-0.0005978545986879066,0.07318666093421212,-1.0614681234936478,-0.0062108864485431094,-0.0022580967856267627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
