p,qaoa_energy,beta01,gamma01,u01,v01,num_qubits,min_energy,opt_var_assignment,beta02,gamma02,u02,v02,beta03,gamma03,u03,v03,beta04,gamma04,u04,v04,beta05,gamma05,u05,v05,beta06,gamma06,u06,v06,beta07,gamma07,u07,v07,beta08,gamma08,u08,v08,beta09,gamma09,u09,v09,beta10,gamma10,u10,v10,beta11,gamma11,u11,v11,beta12,gamma12,u12,v12,beta13,gamma13,u13,v13,beta14,gamma14,u14,v14,beta15,gamma15,u15,v15,beta16,gamma16,u16,v16,beta17,gamma17,u17,v17,beta18,gamma18,u18,v18,beta19,gamma19,u19,v19,beta20,gamma20,u20,v20,beta21,gamma21,u21,v21,beta22,gamma22,u22,v22,beta23,gamma23,u23,v23,beta24,gamma24,u24,v24,beta25,gamma25,u25,v25,beta26,gamma26,beta27,gamma27,beta28,gamma28,beta29,gamma29,beta30,gamma30,beta31,gamma31,beta32,gamma32,beta33,gamma33,beta34,gamma34,beta35,gamma35,beta36,gamma36,beta37,gamma37,beta38,gamma38,beta39,gamma39,beta40,gamma40,beta41,gamma41,beta42,gamma42,beta43,gamma43,beta44,gamma44,beta45,gamma45,beta46,gamma46,beta47,gamma47,beta48,gamma48,beta49,gamma49,beta50,gamma50
1,0.6557203025432825,0.5824782917578716,-0.3705690725744704,-0.5240638082308359,0.8237486999918946,11,-2.0088944195653573,01101101101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.08107791757529004,0.643609240054547,-0.2648684198901104,-0.7404733464967185,0.7162365705960755,11,-2.0088944195653573,01101101101,0.3178061982534645,-0.69177048300964,0.0200225909019066,-0.04731604878563901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-0.4407160564663313,0.6953586835233174,-0.2623962449315963,-1.1089501861913351,0.6735158836331182,11,-2.0088944195653573,01101101101,0.3953526528691219,-0.6087520558862862,0.15792521562803344,0.03386814410578722,0.22816084756397942,-1.2061582734906733,-0.09011955700641118,0.08053465591963646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-0.877759663652899,0.7191784929686833,-0.23565925397719215,-1.1376544068155328,0.6453229968134426,11,-2.0088944195653573,01101101101,0.444166547776813,-0.5442930399975341,0.03771685053216709,0.04335432202943239,0.316676626112012,-0.9926796691571538,0.023746660510992033,0.09817437665855566,0.20523426835419195,-1.1231387798933887,-0.055478886707585974,-0.02222235328251363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-1.2341881218372714,0.7204514897780973,-0.20773237901538955,-1.0056812002814883,0.6079063844821669,11,-2.0088944195653573,01101101101,0.4602744372566469,-0.4633480909520771,-0.0645147162735245,0.04185689540891831,0.3357968899664112,-0.813287957869228,0.02358881453103138,0.11518426025235917,0.28598665510640037,-0.8719803633280939,0.009519427650574858,-0.008304206735734575,0.19687103989055688,-0.930788797654635,-0.046858701396761654,0.03232749390804975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,-1.459755866588469,0.7264503556645652,-0.17164779366169275,-0.9441583638678857,0.5865466010776326,11,-2.0088944195653573,01101101101,0.48808378933554086,-0.3868204929039215,-0.07845205743723718,0.042566685314056656,0.347425554879991,-0.6751685719474118,0.008121241498282986,0.11757633774117499,0.30962320968375323,-0.8131726267131957,0.033204442123825006,0.006874249971820218,0.26940686450125145,-0.7815900406504421,-0.040829086438824005,0.025644184378099944,0.16286594995900305,-0.8914221592185636,-0.01205683924757489,-0.012891744181054791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,-1.5841461767922373,0.7714519416577804,-0.13741774532903053,-0.9266215284404589,0.5902205155141578,11,-2.0088944195653573,01101101101,0.5348213872944455,-0.320812551212004,-0.03575880780173828,0.05946761777686753,0.3715988510054521,-0.5544302044683244,-0.02601453796554186,0.11639416444886246,0.3311239816375049,-0.7004454665865976,0.042590453037844075,0.024007900955052546,0.2867009400935386,-0.7515765048748199,-0.027423061144631083,0.027852753740967937,0.23950777303121626,-0.7898905511657931,0.0004057410253097167,-0.005980496872346792,0.12451580508610154,-0.9556336686247927,-0.015394092884303847,0.003919859198056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,-1.6725289866427806,0.8286150472725127,-0.12601912209029653,-0.9288815869253291,0.5926182393751339,11,-2.0088944195653573,01101101101,0.5755899753115368,-0.2952846117132733,-0.01924856820366649,0.08433554861445025,0.3951236814430436,-0.4983665427065377,-0.05380989534164868,0.11409659422314992,0.34945449847323057,-0.6198317072248789,0.042945111859593266,0.04167528182662203,0.30456508187987813,-0.7005068403913558,-0.024458384922481986,0.037871727745548735,0.2487497764644884,-0.7449164546200957,0.011536322530689995,0.0004684549367496146,0.19362697906136214,-0.820153131357548,-0.014324141575317056,0.0052622636976399975,0.09959356429377114,-1.0108855869315492,-0.008866408572160374,-0.004767074694376557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,-1.732516098724468,0.8318172316718131,-0.12153387504025645,-0.9297508715746412,0.5775765520202643,11,-2.0088944195653573,01101101101,0.5993391851628361,-0.27256388932952036,-0.007099939515760892,0.09220043919338756,0.41118248827498954,-0.4525273760673605,-0.06474733479515385,0.10288857702653383,0.36551424386597436,-0.5573317329312784,0.031878660320692455,0.04842556002344743,0.32074859762713587,-0.6426260437979788,-0.02113787731128289,0.04293448943553438,0.2753214582105169,-0.707577614359001,0.012916802670265046,0.003092239120895198,0.20362124757443062,-0.7694778979494694,-0.011729034129847321,0.009836049601306648,0.15938428656477382,-0.8620823365481302,-0.003202655711182941,-0.0069284394266178355,0.08523343713291276,-1.0316385484497586,-0.01153894525734012,-0.0003838402340587525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,-1.7764805857765547,0.8113731384099998,-0.11252600279417035,-0.935674942867993,0.5534978495171251,11,-2.0088944195653573,01101101101,0.6120437957515433,-0.2592425620966556,0.003608945519024265,0.09388688314638102,0.4193542136155648,-0.4267445486380263,-0.078810349462425,0.09373453023792419,0.3630003883874171,-0.519915161251256,0.024723319941313757,0.05065259286973381,0.33242884030812975,-0.5853377895656727,-0.018689266631573248,0.04471569206655802,0.2925919393981792,-0.657305264503957,0.016526643593070083,0.0028060200649329217,0.23235688041027946,-0.7266828923506276,-0.009238306535738063,0.009896605669535532,0.16830664891240565,-0.7984665674176662,-0.0003079656281929652,-0.0056907690546937175,0.13785769608179765,-0.9035828838317997,-0.009040596980703251,-0.0005978545986879066,0.07318666093421212,-1.0614681234936478,-0.0062108864485431094,-0.0022580967856267627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,-1.8177935512148826,0.8180987739058597,-0.10650148050226832,-0.9679053638055709,0.5300820925966709,11,-2.0088944195653573,01101101101,0.6121030862047357,-0.26061201103141807,-0.0015558502054535649,0.10358949270180177,0.4186641226919163,-0.4305002537917609,-0.0917599301938737,0.08726372535119724,0.35922114388265786,-0.5214045154039056,0.02095339020986609,0.0577185840288826,0.3313518464448976,-0.5799289877327061,-0.01870460520944438,0.05377342200340186,0.30798524775935127,-0.6307940137405508,0.022335107204976164,0.007130812060647318,0.2453630999564902,-0.7009523710308015,-0.01157908746596289,0.01522874559043657,0.186596490234332,-0.7777652850302177,0.005720366660140943,-0.0037058686549796415,0.12846203300978382,-0.8435724489798383,-0.006230377951686674,0.004302867697619231,0.11498148667297212,-0.9461831387406324,-0.0031823936358115062,-0.005298249838366416,0.06916854299410947,-1.110696018865567,-0.006500773517514054,-0.0013003425862340259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,-1.8542114123952755,0.8233032533627377,-0.09534784817811141,-0.9878480035662298,0.5106600948058465,11,-2.0088944195653573,01101101101,0.6162023685358943,-0.23605073887923805,-0.0017143187954700486,0.1109382046882566,0.4283654132183963,-0.4049195318929652,-0.08880571524693545,0.0870091137834978,0.3587336692677861,-0.5152817821682896,0.018890219950934962,0.05951325379684662,0.32175801946538,-0.571068405080257,-0.012704819687858797,0.05569050534458671,0.3031444447963887,-0.6194369455531138,0.02488577652434077,0.010100977070780127,0.2647505272987938,-0.6695755657103115,-0.01328183913787547,0.0207458306824,0.20508533525945508,-0.74632932590356,0.009016019191856224,-0.0009326005542658023,0.15413180100039486,-0.8302273631506629,-0.00657987425439839,0.008587580337997898,0.10544780889181295,-0.880634111268591,-0.003769412791994784,-0.005296939717567548,0.10342232165589524,-0.9794541808837964,-0.003997085869519347,0.0005227137534248004,0.06873099759618659,-1.1303635397859308,-0.0036919043850789984,-0.0014487886009139955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,-1.8842456936961929,0.8333861542904792,-0.09563363909754179,-0.9909360227270307,0.4968989342287453,11,-2.0088944195653573,01101101101,0.632325147435637,-0.22686320972508855,-0.0015773561508824175,0.11912869882095495,0.4395103451340707,-0.38933589026754195,-0.10202104812195188,0.09081259452870138,0.36410374059809675,-0.4948811060290085,0.030140603445751396,0.05802117972190238,0.32045094585378125,-0.555490491484792,-0.028671719710761948,0.05810803879629655,0.29697330331251465,-0.6078527424021413,0.03383661320003601,0.01232164861998371,0.26116683499006926,-0.6436162090724931,-0.020697379792872204,0.026116260157653927,0.22630993855331688,-0.6991963491702377,0.012355815297317413,-0.0007220681698654849,0.17145298239232934,-0.7706928770282214,-0.0011909253844081525,0.00921110484265307,0.12852272098716144,-0.8408369408930462,-0.00967149359292723,-0.003901022733409587,0.09198768775851734,-0.8377554067433028,0.004169896311362055,0.0024203627985738413,0.10638134937864069,-1.0214065786247541,-0.012479114817208892,-0.003407790013400717,0.0684717290885452,-1.1790799881328409,-0.0005310951451047989,-0.001865177128860794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,-1.9076148235837218,0.8255106799971034,-0.09910680483089676,-0.9940695004956223,0.4797124227166502,11,-2.0088944195653573,01101101101,0.6359861731285359,-0.22419272333012838,0.005237249932819219,0.11814757258914285,0.43959648691052566,-0.3733482574189093,-0.10779828009685076,0.09294443241108473,0.36805428328778184,-0.46706266758707016,0.026776148251155815,0.05494432759581754,0.3210984703497642,-0.5254990065214037,-0.03149663336106576,0.058056504692184964,0.2934999092520902,-0.576954034357186,0.020992369053009597,0.015924166887841124,0.26090534455076486,-0.6309707357554131,-0.012173886387946356,0.02930219616352685,0.22622711079744057,-0.6685785634215432,0.007930009598249629,0.0014673821370374093,0.1987123388421565,-0.7160744276180561,0.0018421978136572478,0.008905137918654837,0.14974192316510945,-0.788636969336624,-0.010700112591924884,-0.0015692932629184433,0.11356082345291542,-0.8341842515391218,0.004068286060191595,0.0018378924322419738,0.09559433816311855,-0.8860258929744886,-0.00871710722859079,-0.005546409308216644,0.105446143092422,-1.07222998485933,-0.0011787367945275218,-0.0008651450913037155,0.06467817252310394,-1.1747049190997993,-0.005730192980905695,-0.0007577721833818375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,-1.9239140744372927,0.8194584433224534,-0.09517466495151894,-0.9921553284556707,0.4703183271155944,11,-2.0088944195653573,01101101101,0.6518904524356359,-0.22117832985389996,0.008061353988000768,0.11859686671033284,0.4542803124853608,-0.36074817075400695,-0.10532627358207398,0.09442023062384716,0.3711554110979818,-0.4409399754074476,0.02245141085019746,0.053538197832519514,0.3266400049279595,-0.4915351212258318,-0.03902738016098074,0.056534354486938575,0.29817004948350645,-0.5459723274865242,0.017676479106418234,0.0177186397877451,0.2631570759177708,-0.6031238825181167,-0.012617148325856928,0.029101622994603858,0.2325579953086631,-0.652814417458842,0.009246833160521295,0.0019745972738095786,0.20567381769514217,-0.6932397167044654,0.0024768734225603046,0.007066671596560438,0.17835193139257582,-0.7416922596196783,-0.007503726635096685,-0.0013673330208641252,0.13410782954584788,-0.8103261918400284,0.004896456436042593,0.0012829642806417687,0.10641151213230626,-0.8359813847006676,-0.007276617378590256,-0.0041699716228926365,0.09815746861417851,-0.9108025666699889,-0.0019120632321543705,-0.00022846337529582739,0.10085212942924525,-1.0833591131050135,-0.003332222942344089,-0.0031218510069958303,0.05830110557239406,-1.177097553422391,-0.0038716731865216644,-0.000484098065886799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,-1.9341845642213054,0.8175382639701061,-0.08957031453922101,-0.9868445670586565,0.4640711056516849,11,-2.0088944195653573,01101101101,0.6629956426419894,-0.21522458785903292,-0.0007256332795583145,0.11827643357479808,0.4613380890677662,-0.3465998613340539,-0.09274689097742433,0.09208541108114282,0.38206201383403854,-0.4161038323193765,0.021065292438922294,0.05188991418949266,0.3342740448616838,-0.4674181565040143,-0.04193507321654155,0.05791386957647099,0.30554385013979807,-0.5134234488547242,0.0026230242392577185,0.02095233998966981,0.27697215641260786,-0.5814754266449826,-0.0018154951793527003,0.02736767518911063,0.2469449049319903,-0.6534109299865307,0.008059697107549306,0.005617429507601896,0.2155492754749213,-0.7020641618117663,-0.0024342935247902353,0.00849037917177892,0.18544029106663873,-0.723618870220781,-0.0010341941108230252,-0.00011121751469021324,0.15648361161463795,-0.7496358044066137,0.0012728080120964907,0.0007635932729861272,0.12094195210896937,-0.80054396536598,-0.0024115508550476466,-0.0043936785591605,0.10632306881726537,-0.8601957085068651,-0.00044761818043522915,-0.001138519436771542,0.09833596105869326,-0.9441425142885594,-0.002644103841636808,-0.004545434420194625,0.0933726503144977,-1.0630206103605788,-0.0029364993240421893,-0.0016660283375839438,0.05031391452461421,-1.1414169334069393,-0.0037435437584898566,-0.0007884709746706714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,-1.9433305443034454,0.8160691505381614,-0.07853334121482199,-0.992537810185516,0.4530136484158894,11,-2.0088944195653573,01101101101,0.67052438880763,-0.2032777977465363,0.0018907785226726728,0.12203761478545942,0.47856060392620275,-0.33509038671113844,-0.09486217939514612,0.093268973555796,0.386711038992405,-0.4170725796426053,0.017274314241971334,0.0519901637136562,0.3309050767464501,-0.45927899639827696,-0.04069238295594016,0.05615854787427515,0.305062136234594,-0.4875832316841119,0.002958030927135599,0.025221327232806956,0.27998621863282414,-0.5540861405396375,-0.002138325285011206,0.02394224496446204,0.25123289074052657,-0.6256153878088118,0.014547272069971832,0.006128109642258225,0.21750677987668632,-0.6768332545197396,-0.001889984923211507,0.007896232904926014,0.1859922047301963,-0.7179955170418644,0.0003999526699045556,0.0019824146842736885,0.16251809642490167,-0.7186099470612122,0.0001583039649882387,0.0014100209809517342,0.1404844029699641,-0.7844858174069539,-0.002720278230306414,-0.0022020768951994353,0.11269253436348152,-0.8190872669012522,-0.001713570069281476,4.0595858226731205e-05,0.10454910988247486,-0.8963771337785231,-0.00017296119854438643,-0.0038004389370474324,0.09166172486622395,-0.9565522179434166,0.0030863110282174145,-0.0016188319651837576,0.07945235923537655,-1.0784049126200943,-0.008906809495989725,-0.0017930680840862361,0.038719407201322095,-1.153670010092977,0.0010097881045391533,-0.0011877901187182854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,-1.9528138571136582,0.8144825357029715,-0.0748967456659037,-0.9909265743716418,0.44394151693936007,11,-2.0088944195653573,01101101101,0.6706618099657764,-0.19542110483407185,0.006327475667865858,0.11693369761201099,0.4774969072200859,-0.3276685842266777,-0.09758814347885553,0.09385241437309129,0.3857429969889451,-0.4095603347791646,0.012841851873932462,0.05225046536285564,0.33553954881182535,-0.4495580625920759,-0.04429966146124209,0.056561100693133935,0.303649658735456,-0.47333133316520165,0.003342745373470826,0.029135199943612456,0.2817173531090774,-0.5119417773558455,0.0004049308590127271,0.024504124780079607,0.25938179190560484,-0.5829914139498137,0.013357262359743717,0.008595776555391288,0.23140354858241574,-0.6481630247164781,-0.00021488863052834313,0.01155539240278791,0.19932141878294454,-0.697048992172604,-0.0012460411980465757,0.0027588422529852773,0.1678335984412817,-0.7143615076427986,0.0014589816508727039,0.0017270238266433458,0.1550603560015606,-0.7392486180848242,6.431657769708028e-05,-0.002023875949825451,0.13680004399921364,-0.7994621192886069,-0.0021668509757385218,0.0004777466673348159,0.11487496531960936,-0.8276443814557124,8.154313655867046e-05,-0.004572991354380985,0.1051517228391514,-0.9083120060380477,0.0009153383529657126,-0.0007833752732460493,0.08866408780240119,-0.9795518960887567,-0.006559576757551629,-0.0020838354254462937,0.07376169895938534,-1.0915914628643288,0.0018843410507201129,-0.0007845461819480187,0.039831828415820184,-1.1553581106960973,-0.00281941495092176,-0.0009968456060518494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,-1.9605491975074338,0.8217914526061574,-0.06848870820289729,-0.992648063217123,0.4402569960566827,11,-2.0088944195653573,01101101101,0.6750118617087839,-0.18249040259425714,0.010477887752304708,0.11621418716219015,0.49167640164322385,-0.3089103210291561,-0.09460442868444154,0.0938230393261487,0.3950607922737505,-0.39571950625014474,0.012462706767536873,0.05390937740612386,0.3379857609082271,-0.4358798684030178,-0.04770662093432937,0.056783765819363945,0.3076171009877659,-0.46015225365704376,0.008839852028651453,0.030853850273996355,0.28497831783346195,-0.4928462790978031,-0.0019201115758995383,0.024626472028977515,0.2661025112731777,-0.5486070254543117,0.011235455537008866,0.009489552406141334,0.24381903970080412,-0.615476174172441,0.002558664624842629,0.013093814179536385,0.21398350294394344,-0.6681112545455887,-0.00018042184977997688,0.0035325252424178327,0.18246219031039326,-0.7111275046585283,0.0006095517120592009,0.0038507250275724362,0.1606452533452905,-0.73098547892144,0.0010964163800432903,-0.0006162996694186561,0.14821881111755,-0.7799998646647777,-0.001855030976967183,0.0019519343066460736,0.1316656524835671,-0.8054472210490043,-0.001270791427734899,-0.002511669281849112,0.11282096351700853,-0.8402530268321325,0.0018667692525671843,0.00016908983403520167,0.10017883835286694,-0.9174451952578752,-0.0057040708683447384,-0.002315707605314484,0.08222680829294401,-0.9915004404888911,0.001338923930227393,-0.0007539031344296347,0.07028080240721318,-1.1065968874058134,-0.001048153765696308,-0.0013051389235831114,0.038072895516507055,-1.1658247649267222,-0.001684045003659043,-7.192291200225755e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,-1.9671890704509876,0.8186295691399182,-0.06643196321669571,-0.9928768226393999,0.4361585918001531,11,-2.0088944195653573,01101101101,0.684532830846877,-0.17566559108530375,0.009799795732559926,0.11271820005304002,0.4981865193237811,-0.30011725918437676,-0.09512735586987145,0.09462848951765972,0.40208625841088574,-0.38756212404136237,0.012053012400107652,0.0541005440006614,0.34546786623359427,-0.4274996617215841,-0.04938160180071199,0.05687446274298109,0.31083347579448833,-0.4538298666203162,0.007456962897565617,0.031115962612532706,0.28197510049800645,-0.4770238607565561,-0.0011355429362922792,0.02412826793233827,0.2724846792205011,-0.5262626919677056,0.008731720007106526,0.01084470918884504,0.2512890969741951,-0.5912192722773428,0.004901451494490237,0.014448913401546106,0.22556250143271134,-0.6420812889643869,-8.475755085273187e-05,0.0035630363030806655,0.20266762003615063,-0.6907115649826423,0.0007765123096135687,0.00548222544861296,0.17111644217400646,-0.7252011527723214,0.0008357529519267765,-0.0006282253516851828,0.1548498006629277,-0.7469998026122829,-0.0013475004530523887,0.000562542081151035,0.1434580362221389,-0.7932032569812603,0.0005158466096959786,-0.003961316122314765,0.13136181083071463,-0.8054401806234616,0.00116096873210193,0.00038049668015417134,0.11371276698828188,-0.8512615708565472,-0.006063617263002325,-0.0019292934815961507,0.09901012570236493,-0.9316286696712416,0.0011569423945562386,-0.0004706484111648947,0.08059538267317361,-1.0110454483164286,-0.0015709329306556167,-0.003198878714126782,0.06878862478705794,-1.1146836291652054,-0.0016709899227402296,-0.0006935117476107622,0.03985452275155193,-1.1621483075180679,-0.00045557113113426826,-0.0006602834514255997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,-1.9725537310104437,0.8200334774395366,-0.06400035489312755,-0.9943328638019191,0.4331788828603879,11,-2.0088944195653573,01101101101,0.6940397862219221,-0.16977820035299798,0.009163645838158766,0.11252066244656304,0.5103947180921262,-0.2890432175958011,-0.09534998318479665,0.09496471395391831,0.41314153109328733,-0.3753882074793661,0.011743237091309987,0.05540132550840839,0.35475395002609317,-0.42282167751312505,-0.05036290094935436,0.05618813524042411,0.31625207356931107,-0.4486009936384608,0.008336703221560014,0.030887551295529066,0.28271646980826487,-0.4734840372132189,-0.0008850324359693691,0.02316377533991948,0.27046829700883124,-0.505689954229718,0.007713421802396648,0.01180090579792481,0.256184083670174,-0.5634819110395812,0.0031526078131504376,0.015688892561738412,0.2374849302471286,-0.6194700511329977,0.0005608243196168054,0.004489104555583796,0.2131984032487729,-0.6679975411847109,0.0006077014391049577,0.00580453423823478,0.18849485890848292,-0.7132735679621267,0.0011770756353146302,0.000355827535036467,0.1612807827154985,-0.7360457438776562,-0.0008899666179648583,5.8025683726702264e-05,0.14921217121547523,-0.7674242193925099,0.0006166187902044639,-0.002698352285848198,0.13956480668948534,-0.7942002312984474,5.354229849397106e-05,-0.00033791572938389404,0.12921274402733515,-0.8170256729637159,-0.003474555268714389,-0.0021780850785574676,0.10817216698429855,-0.8659814785534954,0.0002496046572925415,-0.000706923599476116,0.09378588901869442,-0.9446395299126562,-0.0009177403416031766,-0.0024040701712915386,0.07808424420496927,-1.0246073159944757,-0.0001259593616687551,-0.0007823108589226632,0.06566481439733297,-1.117994690052234,-0.002104740974760139,-0.0016982753371080584,0.03351972199647161,-1.1674363696881191,-0.000913008263729328,-0.0009729450375003978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,-1.9775628565440782,0.8168598589692541,-0.05712227062405425,-0.9950000667358985,0.42907264265412387,11,-2.0088944195653573,01101101101,0.7024184624855272,-0.15940961767444742,-0.0024681527529215935,0.1113153902320632,0.52621580509632,-0.2787460220070232,-0.08496480742939148,0.09500940777196423,0.41740928657100274,-0.364660606788162,0.009187396934448104,0.05751127613786532,0.35950559089240086,-0.4160755051525594,-0.05120731767155127,0.05599073590424044,0.3200916331268216,-0.44924356825110834,0.010998809426684603,0.03082365158030739,0.28488412676140884,-0.47005104090517874,-0.001639841438166848,0.022767571343235607,0.26574529268900665,-0.49667592826578993,0.007948207064111484,0.01118358211507904,0.2588071279189373,-0.5476211740238128,0.003968767377074505,0.01647041696773673,0.24513348471029348,-0.6075479970047499,0.0011289277084707509,0.003806430240938604,0.22403674783646257,-0.6565502300433641,-0.00036821379029131437,0.0060740677329765656,0.20097106962490524,-0.7018380346584475,0.0020141102561866946,-0.0008445985824131522,0.17637396356550464,-0.7417095716263166,0.00016703150395422088,-0.00035869533637691755,0.15550408698853593,-0.768305430584268,0.0024150938613555824,-0.002514601901990517,0.14574046893654882,-0.7905797217139847,-0.00042792604356108174,-0.00019123824448543433,0.13777093252098,-0.8116460326484777,-0.0018593277874961085,-0.0018388820060535993,0.12496197584439532,-0.8246047196556693,0.0005306042562252932,-0.0005779940300102886,0.1029170755735363,-0.873600024676814,-0.0015771725786273157,-0.001941458423104776,0.08585803340338227,-0.9436149307353007,-0.0005794774271475518,-0.00041321640182899065,0.07419431804884961,-1.0180367745226941,-0.0006671254531408076,-0.0013409033122357926,0.06487328643675318,-1.0994685846904502,-0.0012614129057678639,-0.0001950353154430786,0.0337606379865952,-1.1508327966735292,-0.0006906587189684944,-0.0002665666442939533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
